iter	Passed	Remaining
811	19281	4464
812	19303	4440
813	19326	4416
814	19349	4392
815	19372	4368
816	19395	4344
817	19419	4320
818	19443	4297
819	19466	4273
820	19489	4249
821	19514	4225
822	19536	4201
823	19560	4177
824	19581	4153
825	19604	4129
826	19628	4106
827	19650	4081
828	19671	4057
829	19694	4033
830	19716	4009
831	19739	3985
832	19762	3961
833	19786	3938
834	19809	3914
835	19833	3890
836	19856	3866
837	19877	3842
838	19904	3819
839	19927	3795
840	19950	3771
841	19972	3747
842	19995	3724
843	20018	3700
844	20042	3676
845	20065	3652
846	20088	3628
847	20111	3604
848	20134	3581
849	20157	3557
850	20180	3533
851	20203	3509
852	20226	3485
853	20250	3462
854	20273	3438
855	20295	3414
856	20318	3390
857	20341	3366
858	20363	3342
859	20387	3318
860	20409	3294
861	20433	3271
862	20457	3247
863	20481	3223
864	20504	3200
865	20528	3176
866	20550	3152
867	20572	3128
868	20596	3104
869	20619	3081
870	20641	3057
871	20664	3033
872	20687	3009
873	20710	2985
874	20732	2961
875	20755	2937
876	20781	2914
877	20811	2891
878	20842	2869
879	20868	2845
880	20897	2822
881	20927	2799
882	20951	2776
883	20983	2753
884	21015	2730
885	21040	2707
886	21071	2684
887	21098	2661
888	21120	2637
889	21143	2613
890	21164	2589
891	21187	2565
892	21210	2541
893	21232	2517
894	21254	2493
895	21277	2469
896	21299	2445
897	21321	2421
898	21344	2397
899	21366	2374
900	21388	2350
901	21411	2326
902	21434	2302
903	21457	2278
904	21481	2254
905	21505	2231
906	21526	2207
907	21549	2183
908	21571	2159
909	21594	2135
910	21618	2111
911	21640	2088
912	21663	2064
913	21687	2040
914	21710	2016
915	21732	1992
916	21755	1969
917	21782	1945
918	21813	1922
919	21838	1899
920	21866	1875
921	21898	1852
922	21931	1829
923	21958	1806
924	21985	1782
925	22017	1759
926	22040	1735
927	22061	1711
928	22084	1687
929	22107	1664
930	22130	1640
931	22154	1616
932	22177	1592
933	22199	1568
934	22222	1544
935	22245	1521
936	22267	1497
937	22291	1473
938	22314	1449
939	22336	1425
940	22359	1401
941	22381	1378
942	22403	1354
943	22427	1330
944	22449	1306
945	22472	1282
946	22495	1259
947	22518	1235
